left_u,left_v,right_u,right_v
-116.595501783287,67.50216916168591,142.2599235766276,85.05978683494034
-108.20094186115476,56.17990022586176,143.88028250326104,85.60342165886635
-108.9841297244469,55.92886468454879,142.42558407605554,73.6157545834767
-102.34443711853663,47.25024410093101,143.56406784231615,72.33045105868375
-101.51147580244148,46.93149282570758,142.66910628589952,72.84812936862052
-102.48900777042732,46.09822796075693,143.56256084027717,73.31300334016653
-95.44427063927793,36.11028021795184,143.39875739293777,61.39235573776004
-95.37678558558608,36.249920781117495,142.62516988083092,62.77477093693216
-89.24144510313273,26.989452790714797,144.16704312931654,51.53039225621436
-90.73805881703306,27.405183652853644,143.78065179225234,41.443211936042474
-90.2443712159584,26.269520652473165,144.450053661401,32.98599148800768
-91.00353579216295,27.03126122145021,144.55377632180662,24.145368779912786
-83.82072290733706,18.635011668518914,144.5335358428318,23.25651987393238
-85.26415986817014,17.65272699529754,143.27654255241114,15.510055669600076
-78.08301387553313,9.359616124219592,144.67271481334123,14.227568360963655
-74.40412125471642,1.48711154484352,143.225159421325,14.720737672000336
-64.38663705329665,-12.605646378358525,143.22092824007862,7.216995505709979
-55.86540812744571,-27.77651948934577,145.12588988228023,-1.953256239533935
-55.26831693398787,-27.718405749318798,144.5145895984351,-8.285999646386369
-46.394165233562376,-39.96604129688225,144.2518725571666,-8.69424377248587
-46.93740639200996,-39.28041455016558,144.07807085150813,-15.690424180937214
-45.873666408026786,-38.99624234039332,144.60333131979448,-15.2069798887023
-39.086954053211024,-51.58688704578358,145.14580976651177,-23.136032565223704
-39.72491671423393,-51.14346886231645,145.36912854929963,-29.074051316367463
-39.18384188763274,-52.43984801393588,145.23914744693923,-29.38730389931687
-39.58001332596575,-51.89884454768975,144.46507155268378,-42.46746071173086
-36.19901535845559,-56.491218108980455,144.45288911353913,-42.05784436304464
-36.2100670636387,-56.52031438362283,145.5410922999359,-42.77809779064382
-34.80678473259681,-57.80539995608537,145.55601391377127,-48.06430627528007
-31.680289033687288,-61.73764926532559,145.2912267310194,-48.3056653533888
-25.98387179734533,-72.54653070205569,145.90197381400267,-52.33782840529952
-20.6005601923473,-81.54461715929725,145.88240377025136,-62.920543012794354
-17.434187031965664,-86.49565783886332,145.24945078300698,-68.74760242320528
-15.956548434326919,-86.11967629755614,145.07119905566933,-73.21583098141005
-13.182482512941021,-91.07962789627949,146.2790079965803,-81.88840475861873
-12.132814619265865,-94.54613429352887,146.56761711026644,-92.35244955600582
-8.188717699159309,-98.59386872039988,145.0536341845533,-95.88917197326049
-5.174448837906189,-103.04120918528082,145.80300967700595,-107.28003183557965
2.006684383172326,-113.52030275995791,146.29841225347624,-127.82494923498156
7.309438955926613,-124.06364166901274,146.4636258173398,-138.00214125593956
13.05586585791982,-132.6654382250479,146.7194142381742,-143.74033055089123
13.088523272600142,-132.8858543426358,146.10987429911756,-146.13057501481322
12.827436321653284,-133.15509090695954,146.27030200035537,-149.00493342112105
19.819217475808127,-141.99120274225976,147.08232269885372,-151.55306052709582
23.030840279853354,-146.21476396023988,147.31392051925093,-150.94901041362743
26.058095906989216,-151.60811471252384,146.45627824186963,-152.81373851922123
32.21812965319432,-161.81430500824763,146.8237055889118,-164.31659068556772
40.1327938277541,-171.8495554987953,147.2000985319464,-171.31558664665354
44.824512902040816,-180.76303446230767,147.65096098135734,-172.82302180284302
46.353953663364415,-182.21141198314515,146.4974172442093,-177.22170531900633
